gene,CNV
GTF2H2,LOH
BDP1,LOH
MCCC2,LOH
CARTPT,LOH
MRPS27,LOH
PTCD2,LOH
FCHO2,LOH
TMEM174,LOH
FOXD1,LOH
BTF3,LOH
ANKRA2,LOH
UTP15,LOH
ARHGEF28,LOH
ENC1,LOH
HEXB,LOH
GFM2,LOH
NSA2,LOH
FAM169A,LOH
GCNT4,LOH
ANKRD31,LOH
HMGCR,LOH
ANKDD1B,LOH
POC5,LOH
SV2C,LOH
IQGAP2,LOH
F2R,LOH
F2RL1,LOH
S100Z,LOH
CRHBP,LOH
AGGF1,LOH
AP3B1,LOH
SCAMP1,LOH
LHFPL2,LOH
ARSB,LOH
DMGDH,LOH
JMY,LOH
PAPD4,LOH
CMYA5,LOH
MTX3,LOH
THBS4,LOH
SERINC5,LOH
SPZ1,LOH
ZFYVE16,LOH
FAM151B,LOH
ANKRD34B,LOH
DHFR,LOH
MSH3,LOH
RASGRF2,LOH
ATP6AP1L,LOH
TMEM167A,LOH
XRCC4,LOH
VCAN,LOH
EDIL3,LOH
NBPF22P,LOH
RASA1,LOH
CCNH,LOH
TMEM161B,LOH
MEF2C,LOH
LOC731157,LOH
MBLAC2,LOH
POLR3G,LOH
LYSMD3,LOH
ADGRV1,LOH
ARRDC3,LOH
NR2F1,LOH
FAM172A,LOH
KIAA0825,LOH
FAM81B,LOH
ARSK,LOH
GPR150,LOH
SPATA9,LOH
ELL2,LOH
CAST,LOH
ERAP1,LOH
RGMB,LOH
CHD1,LOH
FAM174A,LOH
ST8SIA4,LOH
SLCO4C1,LOH
SLCO6A1,LOH
PAM,LOH
PPIP5K2,LOH
C5orf30,LOH
NUDT12,LOH
LMNB1,LOH
C5orf63,LOH
MEGF10,LOH
PRRC1,LOH
CTXN3,LOH
SLC12A2,LOH
SLC27A6,LOH
ISOC1,LOH
ADAMTS19,LOH
CHSY3,LOH
LYRM7,LOH
CDC42SE2,LOH
RAPGEF6,LOH
FNIP1,LOH
ACSL6,LOH
CSF2,LOH
SLC22A5,LOH
IRF1,LOH
IL5,LOH
RAD50,LOH
IL13,LOH
IL4,LOH
KIF3A,LOH
CCNI2,LOH
SOWAHA,LOH
SOWAHA,GAIN
PAIP2,GAIN
SLC23A1,GAIN
PROB1,GAIN
SPATA24,GAIN
DNAJC18,GAIN
ECSCR,GAIN
TMEM173,GAIN
UBE2D2,GAIN
PSD2,GAIN
NRG2,GAIN
PURA,GAIN
IGIP,GAIN
CYSTM1,GAIN
PFDN1,GAIN
HBEGF,GAIN
SLC4A9,GAIN
SRA1,GAIN
APBB3,GAIN
SLC35A4,GAIN
CD14,GAIN
IK,GAIN
HARS,GAIN
HARS2,GAIN
PCDHA1,GAIN
PCDHB1,GAIN
PCDHB2,GAIN
PCDHB3,GAIN
PCDHB4,GAIN
PCDHB5,GAIN
PCDHB6,GAIN
PCDHB17P,GAIN
PCDHB7,GAIN
PCDHB8,GAIN
PCDHB9,GAIN
PCDHB10,GAIN
PCDHB12,GAIN
PCDHB13,GAIN
PCDHB14,GAIN
PCDHB18P,GAIN
PCDHB19P,GAIN
PCDHB15,GAIN
SLC25A2,GAIN
TAF7,GAIN
PCDHGA1,GAIN
DIAPH1,GAIN
HDAC3,GAIN
RELL2,GAIN
FCHSD1,GAIN
ARAP3,GAIN
PCDH1,GAIN
KIAA0141,GAIN
PCDH12,GAIN
RNF14,GAIN
NDFIP1,GAIN
SPRY4,GAIN
FGF1,GAIN
NR3C1,GAIN
YIPF5,GAIN
KCTD16,GAIN
PRELID2,GAIN
GRXCR2,GAIN
SH3RF2,GAIN
PLAC8L1,GAIN
LARS,GAIN
POU4F3,GAIN
PPP2R2B,GAIN
STK32A,GAIN
DPYSL3,GAIN
JAKMIP2,GAIN
SPINK1,GAIN
SCGB3A2,GAIN
C5orf46,GAIN
SPINK5,GAIN
SPINK14,GAIN
SPINK6,GAIN
FBXO38,GAIN
HTR4,GAIN
ADRB2,GAIN
SH3TC2,GAIN
ABLIM3,GAIN
AFAP1L1,GAIN
GRPEL2,GAIN
PCYOX1L,GAIN
IL17B,GAIN
PPARGC1B,GAIN
PDE6A,GAIN
SLC26A2,GAIN
TIGD6,GAIN
HMGXB3,GAIN
CSF1R,GAIN
PDGFRB,GAIN
CDX1,GAIN
CAMK2A,GAIN
ARSI,GAIN
TCOF1,GAIN
CD74,GAIN
NDST1,GAIN
SYNPO,GAIN
MYOZ3,GAIN
RBM22,GAIN
SMIM3,GAIN
IRGM,GAIN
ZNF300,GAIN
ZNF300P1,GAIN
GPX3,GAIN
TNIP1,GAIN
ANXA6,GAIN
GM2A,GAIN
SLC36A3,GAIN
SLC36A2,GAIN
SLC36A1,GAIN
FAT2,GAIN
SPARC,GAIN
GLRA1,GAIN
NMUR2,GAIN
GRIA1,GAIN
FAM114A2,GAIN
GALNT10,GAIN
SAP30L,GAIN
HAND1,GAIN
LARP1,GAIN
FAXDC2,GAIN
CNOT8,GAIN
GEMIN5,GAIN
MRPL22,GAIN
KIF4B,GAIN
SGCD,GAIN
PPP1R2P3,GAIN
TIMD4,GAIN
HAVCR1,GAIN
HAVCR2,GAIN
ITK,GAIN
CYFIP2,GAIN
SOX30,GAIN
C5orf52,GAIN
LSM11,GAIN
CLINT1,GAIN
EBF1,GAIN
RNF145,GAIN
UBLCP1,GAIN
ADRA1B,GAIN
TTC1,GAIN
PWWP2A,GAIN
FABP6,GAIN
CCNJL,GAIN
C1QTNF2,GAIN
ZBED8,GAIN
SLU7,GAIN
PTTG1,GAIN
ATP10B,GAIN
GABRB2,GAIN
GABRA6,GAIN
GABRA1,GAIN
GABRG2,GAIN
CCNG1,GAIN
NUDCD2,GAIN
HMMR,GAIN
MAT2B,GAIN
TENM2,GAIN
RARS,GAIN
SLIT3,GAIN
SPDL1,GAIN
DOCK2,GAIN
FOXI1,GAIN
KCNIP1,GAIN
RANBP17,GAIN
TLX3,GAIN
FGF18,GAIN
SMIM23,GAIN
FBXW11,GAIN
STK10,GAIN
EFCAB9,GAIN
SH3PXD2B,GAIN
NEURL1B,GAIN
LOC101928093,GAIN
DUSP1,GAIN
ERGIC1,GAIN
RPL26L1,GAIN
ATP6V0E1,GAIN
CREBRF,GAIN
BNIP1,GAIN
NKX2-5,GAIN
STC2,GAIN
BOD1,GAIN
C5orf47,GAIN
MSX2,GAIN
DRD1,GAIN
HRH2,GAIN
CPLX2,GAIN
FAM153B,GAIN
SIMC1,GAIN
KIAA1191,GAIN
CLTB,GAIN
FAF2,GAIN
RNF44,GAIN
CDHR2,GAIN
GPRIN1,GAIN
SNCB,GAIN
EIF4E1B,GAIN
TSPAN17,GAIN
UNC5A,GAIN
HK3,GAIN
UIMC1,GAIN
ZNF346,GAIN
FGFR4,GAIN
NSD1,GAIN
LMAN2,GAIN
RGS14,GAIN
SLC34A1,GAIN
PFN3,GAIN
F12,GAIN
GRK6,GAIN
PRR7,GAIN
DBN1,GAIN
PDLIM7,GAIN
DOK3,GAIN
DDX41,GAIN
FAM193B,GAIN
TMED9,GAIN
B4GALT7,GAIN
LOC202181,GAIN
FAM153A,GAIN
PROP1,GAIN
FAM153C,GAIN
N4BP3,GAIN
NHP2,GAIN
HNRNPAB,GAIN
PHYKPL,GAIN
COL23A1,GAIN
CLK4,GAIN
ZNF354A,GAIN
ZFP2,GAIN
ZNF454,GAIN
GRM6,GAIN
ADAMTS2,GAIN
RUFY1,GAIN
C5orf60,GAIN
CANX,GAIN
MAML1,GAIN
MGAT4B,GAIN
SQSTM1,GAIN
TBC1D9B,GAIN
RNF130,GAIN
RASGEF1C,GAIN
MAPK9,GAIN
GFPT2,GAIN
CNOT6,GAIN
SCGB3A1,GAIN
FLT4,GAIN
OR2Y1,GAIN
ZFP62,GAIN
BTNL8,GAIN
BTNL3,GAIN
BTNL9,GAIN
OR2V1,GAIN
OR2V2,GAIN
TRIM7,GAIN
RIMS1,GAIN
RIMS1,GAIN
KHDC1,LOH
DPPA5,LOH
KHDC3L,LOH
DDX43,LOH
EEF1A1,LOH
CD109,LOH
COL12A1,LOH
TMEM30A,LOH
FILIP1,LOH
SENP6,LOH
MYO6,LOH
IMPG1,LOH
PHIP,LOH
HMGN3,LOH
LCA5,LOH
SH3BGRL2,LOH
ELOVL4,LOH
TTK,LOH
BCKDHB,LOH
FAM46A,LOH
IBTK,LOH
UBE3D,LOH
PGM3,LOH
RWDD2A,LOH
ME1,LOH
PRSS35,LOH
RIPPLY2,LOH
MRAP2,LOH
CEP162,LOH
CEP162,LOSS
TBX18,LOSS
NT5E,LOSS
SNX14,LOSS
SYNCRIP,LOSS
SNHG5,LOSS
HTR1E,LOSS
CGA,LOSS
GJB7,LOSS
SLC35A1,LOSS
RARS2,LOSS
ORC3,LOSS
AKIRIN2,LOSS
SPACA1,LOSS
CNR1,LOSS
RNGTT,LOSS
RNGTT,GAIN
PNRC1,GAIN
SRSF12,GAIN
PM20D2,GAIN
GABRR1,GAIN
GABRR2,GAIN
UBE2J1,GAIN
RRAGD,GAIN
ANKRD6,GAIN
LYRM2,GAIN
MDN1,GAIN
CASP8AP2,GAIN
GJA10,GAIN
BACH2,GAIN
BACH2,LOSS
POU3F2,LOH
FAXC,LOH
COQ3,LOH
USP45,LOH
TSTD3,LOH
CCNC,LOH
PRDM13,LOH
MCHR2,LOH
ASCC3,LOH
GRIK2,LOH
GRIK2,LOSS
RPS6KA2,GAIN
UNC93A,GAIN
TCP10,GAIN
HGC6.3,GAIN
FRMD1,GAIN
DACT2,GAIN
SMOC2,GAIN
THBS2,GAIN
WDR27,GAIN
C6orf120,GAIN
PHF10,GAIN
TCTE3,GAIN
ERMARD,GAIN
DLL1,GAIN
FAM120B,GAIN
PSMB1,GAIN
TBP,GAIN
CLK2P1,LOSS
CCDC126,LOSS
FAM221A,LOSS
STK31,LOSS
NPY,LOSS
MPP6,LOSS
OSBPL3,LOSS
CYCS,LOSS
C7orf31,LOSS
NPVF,LOSS
ZNF596,LOH
FAM87A,LOH
FBXO25,LOH
TDRP,LOH
ERICH1,LOH
DLGAP2,LOH
ARHGEF10,LOH
KBTBD11,LOH
MYOM2,LOH
CSMD1,LOH
MCPH1,LOH
AGPAT5,LOH
XKR5,LOH
DEFA6,LOH
DEFA4,LOH
DEFA1,LOH
DEFA5,LOH
FAM66B,GAIN
CLDN23,LOH
PPP1R3B,LOH
TNKS,LOH
MSRA,LOH
PRSS55,LOH
RP1L1,LOH
SOX7,LOH
XKR6,LOH
MTMR9,LOH
SLC35G5,LOH
TDH,LOH
BLK,LOH
GATA4,LOH
C8orf49,LOH
NEIL2,LOH
FDFT1,LOH
CTSB,LOH
DEFB136,LOH
DEFB135,LOH
DEFB134,LOH
ZNF705D,LOH
ZNF705D,GAIN
FAM66D,GAIN
FAM86B1,GAIN
FAM86B1,LOH
FAM66A,LOH
FAM90A25P,LOH
FAM86B2,LOH
LOC729732,LOH
LONRF1,LOH
DLC1,LOH
C8orf48,LOH
SGCZ,LOH
TUSC3,LOH
MSR1,LOH
MICU3,LOH
CNOT7,LOH
VPS37A,LOH
MTMR7,LOH
SLC7A2,LOH
PDGFRL,LOH
MTUS1,LOH
PCM1,LOH
ASAH1,LOH
NAT1,LOH
NAT2,LOH
PSD3,LOH
SH2D4A,LOH
LPL,LOH
SLC18A1,LOH
ATP6V1B2,LOH
DOK2,LOH
XPO7,LOH
NPM2,LOH
FGF17,LOH
DMTN,LOH
FAM160B2,LOH
NUDT18,LOH
REEP4,LOH
LGI3,LOH
SFTPC,LOH
PHYHIP,LOH
SLC39A14,LOH
PPP3CC,LOH
SORBS3,LOH
PDLIM2,LOH
C8orf58,LOH
BIN3,LOH
EGR3,LOH
PEBP4,LOH
RHOBTB2,LOH
CHMP7,LOH
LOXL2,LOH
NKX3-1,LOH
NKX2-6,LOH
STC1,LOH
ADAM28,LOH
NEFM,LOH
NEFL,LOH
GNRH1,LOH
KCTD9,LOH
CDCA2,LOH
EBF2,LOH
PPP2R2A,LOH
PNMA2,LOH
DPYSL2,LOH
ADRA1A,LOH
STMN4,LOH
TRIM35,LOH
PTK2B,LOH
CHRNA2,LOH
EPHX2,LOH
CCDC25,LOH
PBK,LOH
SCARA5,LOH
NUGGC,LOH
ELP3,LOH
PNOC,LOH
ZNF395,LOH
FZD3,LOH
EXTL3,LOH
INTS9,LOH
HMBOX1,LOH
KIF13B,LOH
DUSP4,LOH
RBPMS-AS1,LOH
RBPMS,LOH
GTF2E2,LOH
GSR,LOH
UBXN8,LOH
PPP2CB,LOH
TEX15,LOH
PURG,LOH
WRN,LOH
NRG1,LOH
RNF122,LOH
DUSP26,LOH
KCNU1,LOH
LINC01605,LOH
ZNF703,LOH
BRF2,LOH
GOT1L1,LOH
ADRB3,LOH
ASH2L,LOH
STAR,LOH
LSM1,LOH
BAG4,LOH
DDHD2,LOH
LETM2,LOH
FGFR1,LOH
C8orf86,LOH
RNF5P1,LOH
TACC1,LOH
PLEKHA2,LOH
HTRA4,LOH
TM2D2,LOH
ADAM9,LOH
ADAM32,LOH
ADAM3A,LOH
ADAM18,LOH
ADAM2,LOH
IDO2,LOH
ZMAT4,LOH
SFRP1,LOH
GOLGA7,LOH
GINS4,LOH
ANK1,LOH
KAT6A,LOH
AP3M2,LOH
PLAT,LOH
IKBKB,LOH
POLB,LOH
DKK4,LOH
VDAC3,LOH
SLC20A2,LOH
SMIM19,LOH
CHRNA6,LOH
THAP1,LOH
RNF170,LOH
HOOK3,LOH
FNTA,LOH
POMK,LOH
HGSNAT,LOH
POTEA,LOH
PXDNL,LOSS
PXDNL,GAIN
ARMC1,GAIN
MTFR1,GAIN
PDE7A,GAIN
DNAJC5B,GAIN
CRH,GAIN
RRS1-AS1,GAIN
ADHFE1,GAIN
C8orf46,GAIN
MYBL1,GAIN
C8orf44-SGK3,GAIN
MCMDC2,GAIN
SNHG6,GAIN
TCF24,GAIN
CSPP1,GAIN
ARFGEF1,GAIN
CPA6,GAIN
C8orf34,GAIN
SULF1,GAIN
SLCO5A1,GAIN
PRDM14,GAIN
TRAM1,GAIN
LACTB2,GAIN
XKR9,GAIN
EYA1,GAIN
EYA1,GAIN
LOC392232,GAIN
KCNB2,GAIN
SBSPON,GAIN
C8orf89,GAIN
RDH10,GAIN
STAU2-AS1,GAIN
STAU2,GAIN
UBE2W,GAIN
TMEM70,GAIN
LY96,GAIN
JPH1,GAIN
GDAP1,GAIN
MIR2052HG,GAIN
PI15,GAIN
CRISPLD1,GAIN
HNF4G,GAIN
ZFHX4,GAIN
PEX2,GAIN
PKIA,GAIN
ZC2HC1A,GAIN
IL7,GAIN
STMN2,GAIN
HEY1,GAIN
TPD52,GAIN
ZBTB10,GAIN
ZNF704,GAIN
PAG1,GAIN
ZFAND1,GAIN
CHMP4C,GAIN
SNX16,GAIN
RALYL,GAIN
LRRCC1,GAIN
C8orf59,GAIN
CA13,GAIN
CA3,GAIN
CA2,GAIN
REXO1L2P,GAIN
GRHL2,GAIN
MYC,GAIN
PVT1,GAIN
CCDC26,GAIN
GSDMC,GAIN
FAM49B,GAIN
ASAP1,GAIN
EFR3A,GAIN
LRRC6,GAIN
TMEM71,GAIN
PHF20L1,GAIN
TG,GAIN
TSNARE1,GAIN
JRK,GAIN
PSCA,GAIN
THEM6,GAIN
SLURP1,GAIN
LY6D,GAIN
CYP11B2,GAIN
LY6E,GAIN
C8orf31,GAIN
GPIHBP1,GAIN
GLI4,GAIN
ZNF696,GAIN
TOP1MT,GAIN
RHPN1-AS1,GAIN
RHPN1,GAIN
MAFA,GAIN
ZC3H3,GAIN
EEF1D,GAIN
TIGD5,GAIN
TSTA3,GAIN
ZNF623,GAIN
MAPK15,GAIN
PUF60,GAIN
NRBP2,GAIN
EPPK1,GAIN
PLEC,GAIN
PARP10,GAIN
OPLAH,GAIN
EXOSC4,GAIN
GPAA1,GAIN
CYC1,GAIN
SHARPIN,GAIN
HGH1,GAIN
MROH1,GAIN
BOP1,GAIN
HSF1,GAIN
DGAT1,GAIN
SCRT1,GAIN
TMEM249,GAIN
SLC52A2,GAIN
ADCK5,GAIN
CPSF1,GAIN
SLC39A4,GAIN
VPS28,GAIN
TONSL,GAIN
KIFC2,GAIN
FOXH1,GAIN
MFSD3,GAIN
RECQL4,GAIN
LRRC14,GAIN
LRRC24,GAIN
ARHGAP39,GAIN
ZNF251,GAIN
ZNF34,GAIN
RPL8,GAIN
ZNF7,GAIN
ZNF250,GAIN
ZNF16,GAIN
ZNF252P,GAIN
ZNF252P,GAIN
C8orf33,GAIN
DMRTA1,LOH
ELAVL2,LOH
TUSC1,LOH
CAAP1,LOH
PLAA,LOH
IFT74,LOH
TEK,LOH
EQTN,LOH
MOB3B,LOH
C9orf72,LOH
LINGO2,LOH
ACO1,LOH
DDX58,LOH
TOPORS,LOH
NDUFB6,LOH
TAF1L,LOH
TMEM215,LOH
SMU1,LOH
BAG1,LOH
CHMP5,LOH
NFX1,LOH
AQP7,LOH
AQP3,LOH
NOL6,LOH
ANKRD18B,LOH
ANXA2P2,LOH
PTENP1,LOH
PRSS3,LOH
UBE2R2,LOH
UBAP2,LOH
DCAF12,LOH
UBAP1,LOH
KIF24,LOH
NUDT2,LOH
C9orf24,LOH
FAM219A,LOH
DNAI1,LOH
ENHO,LOH
CNTFR,LOH
RPP25L,LOH
DCTN3,LOH
ARID3C,LOH
SIGMAR1,LOH
IL11RA,LOH
CCL19,LOH
CCL21,LOH
FAM205A,LOH
FAM205BP,LOH
DNAJB5,LOH
C9orf131,LOH
VCP,LOH
FANCG,LOH
PIGO,LOH
STOML2,LOH
FAM214B,LOH
UNC13B,LOH
RUSC2,LOH
FAM166B,LOH
TESK1,LOH
SIT1,LOH
CCDC107,LOH
CA9,LOH
TLN1,LOH
CREB3,LOH
SPAG8,LOH
HINT2,LOH
TMEM8B,LOH
HRCT1,LOH
OR2S2,LOH
GLIPR2,LOH
CCIN,LOH
RNF38,LOH
MELK,LOH
PAX5,LOH
ZCCHC7,LOH
GRHPR,LOH
ZBTB5,LOH
POLR1E,LOH
FBXO10,LOH
SHB,LOH
ALDH1B1,LOH
IGFBPL1,LOH
CNTNAP3,LOH
LOC554249,LOH
ANKRD20A3,LOH
LOC554249,GAIN
LINC01189,GAIN
LOC728673,GAIN
ANKRD20A3,GAIN
AQP7P3,GAIN
FOXD4L5,GAIN
CBWD5,GAIN
FOXD4L4,GAIN
MVB12B,LOH
LMX1B,LOH
ZBTB43,LOH
ZBTB34,LOH
RALGPS1,LOH
GARNL3,LOH
SLC2A8,LOH
ZNF79,LOH
RPL12,LOH
LRSAM1,LOH
FAM129B,LOH
STXBP1,LOH
MIR1268A,LOH
ZMYND11,LOH
DIP2C,LOH
LARP4B,LOH
IDI2,LOH
IDI2-AS1,LOH
IDI1,LOH
ADARB2,LOH
PFKP,LOH
PITRM1,LOH
KLF6,LOH
AKR1E2,GAIN
AKR1C2,GAIN
AKR1C3,GAIN
AKR1C8P,LOH
AKR1C4,LOH
UCN3,LOH
TUBAL3,LOH
NET1,LOH
CALML5,LOH
ASB13,LOH
FAM208B,LOH
GDI2,LOH
ANKRD16,LOH
FBXO18,LOH
IL15RA,LOH
IL2RA,LOH
RBM17,LOH
PFKFB3,LOH
PRKCQ,LOH
SFMBT2,LOH
ITIH5,LOH
ITIH2,LOH
KIN,LOH
GATA3,LOH
CELF2,LOH
ECHDC3,LOH
PROSER2,LOH
UPF2,LOH
DHTKD1,LOH
SEC61A2,LOH
NUDT5,LOH
CDC123,LOH
CAMK1D,LOH
CCDC3,LOH
OPTN,LOH
MCM10,LOH
UCMA,LOH
SEPHS1,LOH
PRPF18,LOH
FRMD4A,LOH
FAM107B,LOH
HSPA14,LOH
SUV39H2,LOH
SUV39H2,LOH
DCLRE1C,LOH
MEIG1,LOH
NMT2,LOH
FAM171A1,LOH
ITGA8,LOH
PTER,LOH
C1QL3,LOH
RSU1,LOH
CUBN,LOH
TRDMT1,LOH
VIM,LOH
ST8SIA6,LOH
HACD1,LOH
STAM,LOH
MRC1,LOH
SLC39A12,LOH
CACNB2,LOH
NSUN6,LOH
MALRD1,LOH
MLLT10,GAIN
MLLT10,LOH
ACTR3BP5,GAIN
PHYHIPL,LOH
FAM13C,LOH
CCDC6,LOH
ANK3,LOH
CDK1,LOH
RHOBTB1,LOH
TMEM26,LOH
ARID5B,LOH
ZNF365,LOH
ADO,LOH
EGR2,LOH
NRBF2,LOH
JMJD1C,LOH
REEP3,LOH
ANXA2P3,LOH
CTNNA3,LOH
DNAJC12,LOH
SIRT1,LOH
HERC4,LOH
MYPN,LOH
ATOH7,LOH
PBLD,LOH
HNRNPH3,LOH
RUFY2,LOH
DNA2,LOH
SLC25A16,LOH
TET1,LOH
CCAR1,LOH
STOX1,LOH
DDX50,LOH
DDX21,LOH
SRGN,LOH
SUPV3L1,LOH
HKDC1,LOH
HK1,LOH
TACR2,LOH
TSPAN15,LOH
NEUROG3,LOH
COL13A1,LOH
H2AFY2,LOH
AIFM2,LOH
TYSND1,LOH
SAR1A,LOH
PPA1,LOH
NPFFR1,LOH
LRRC20,LOH
EIF4EBP2,LOH
NODAL,LOH
PALD1,LOH
PRF1,LOH
ADAMTS14,LOH
TBATA,LOH
SGPL1,LOH
PCBD1,LOH
UNC5B,LOH
SLC29A3,LOH
CDH23,LOH
PSAP,LOH
CHST3,LOH
SPOCK2,LOH
ASCC1,LOH
ANAPC16,LOH
DDIT4,LOH
DNAJB12,LOH
MICU1,LOH
MCU,LOH
OIT3,LOH
P4HA1,LOH
NUDT13,LOH
ECD,LOH
CFAP70,LOH
ANXA7,LOH
MSS51,LOH
PPP3CB,LOH
MYOZ1,LOH
SYNPO2L,LOH
SEC24C,LOH
FUT11,LOH
CHCHD1,LOH
ZSWIM8,LOH
NDST2,LOH
CAMK2G,LOH
C10orf55,LOH
VCL,LOH
AP3M1,LOH
ADK,LOH
DUPD1,LOH
DUSP13,LOH
SAMD8,LOH
VDAC2,LOH
COMTD1,LOH
ZNF503,LOH
DLG5,LOH
DLG5-AS1,LOH
POLR3A,LOH
RPS24,LOH
ZMIZ1,LOH
PPIF,LOH
ZCCHC24,LOH
EIF5AL1,LOH
SFTPA2,LOH
SFTPA1,LOH
BMS1P21,LOH
SFTPD,LOH
TMEM254,LOH
MAT1A,LOH
DYDC1,LOH
DYDC2,LOH
FAM213A,LOH
SH2D4B,LOH
NRG3,LOH
GHITM,LOH
C10orf99,LOH
CDHR1,LOH
LRIT2,LOH
LRIT1,LOH
CCSER2,LOH
GRID1,LOH
LDB3,LOH
MMRN2,LOH
AGAP11,LOH
FAM25A,LOH
GLUD1,LOH
FAM35A,LOH
NUTM2D,LOH
MINPP1,LOH
PAPSS2,LOH
TRIM8,LOH
CYP17A1,LOH
CALHM2,LOH
CALHM3,LOH
NEURL1,LOH
SH3PXD2A,LOH
SLK,LOH
COL17A1,LOH
SFR1,LOH
CFAP43,LOH
GSTO1,LOH
GSTO2,LOH
ITPRIP,LOH
CFAP58,LOH
SORCS3,LOH
SORCS1,LOH
XPNPEP1,LOH
ADD3,LOH
MXI1,LOH
SMNDC1,LOH
DUSP5,LOH
SMC3,LOH
RBM20,LOH
PDCD4,LOH
BBIP1,LOH
SHOC2,LOH
ADRA2A,LOH
GPAM,LOH
TECTB,LOH
ZDHHC6,LOH
VTI1A,LOH
TCF7L2,LOH
HABP2,LOH
NRAP,LOH
CASP7,LOH
PLEKHS1,LOH
DCLRE1A,LOH
ADRB1,LOH
VWA2,LOH
AFAP1L2,LOH
ABLIM1,LOH
FAM160B1,LOH
TRUB1,LOH
ATRNL1,LOH
GFRA1,LOH
CCDC172,LOH
PNLIPRP3,LOH
PNLIP,LOH
PNLIPRP1,LOH
PNLIPRP2,LOH
C10orf82,LOH
HSPA12A,LOH
ENO4,LOH
VAX1,LOH
KCNK18,LOH
PDZD8,LOH
EMX2,LOH
RAB11FIP2,LOH
PRLHR,LOH
CACUL1,LOH
NANOS1,LOH
FAM45A,LOH
SFXN4,LOH
PRDX3,LOH
GRK5,LOH
RGS10,LOH
TIAL1,LOH
BAG3,LOH
INPP5F,LOH
MCMBP,LOH
SEC23IP,LOH
OAT,GAIN
LHPP,GAIN
CTBP2,GAIN
EDRF1,GAIN
MMP21,GAIN
UROS,GAIN
BCCIP,GAIN
DHX32,GAIN
ADAM12,GAIN
C10orf90,GAIN
NPS,GAIN
FOXI2,GAIN
CLRN3,GAIN
PTPRE,GAIN
MKI67,GAIN
MGMT,GAIN
EBF3,GAIN
CTAGE7P,GAIN
TCERG1L,GAIN
LINC01164,GAIN
PPP2R2D,GAIN
BNIP3,GAIN
JAKMIP3,GAIN
RIC8A,LOH
SIRT3,LOH
PSMD13,LOH
IFITM5,LOH
IFITM2,LOH
IFITM3,LOH
B4GALNT4,LOH
PKP3,LOH
SIGIRR,LOH
ANO9,LOH
PTDSS2,LOH
RNH1,LOH
HRAS,LOH
LRRC56,LOH
LMNTD2,LOH
RASSF7,LOH
MIR210HG,LOH
LOC143666,LOH
PHRF1,LOH
IRF7,LOH
CDHR5,LOH
SCT,LOH
DRD4,LOH
DEAF1,LOH
EPS8L2,LOH
TALDO1,LOH
LOC171391,LOH
CEND1,LOH
SLC25A22,LOH
PIDD1,LOH
RPLP2,LOH
PNPLA2,LOH
POLR2L,LOH
TSPAN4,LOH
CHID1,LOH
AP2A2,LOH
MUC6,LOH
MUC2,LOH
MUC5AC,LOH
MUC5B,LOH
TOLLIP,LOH
BRSK2,LOH
DUSP8,LOH
KRTAP5-3,LOH
KRTAP5-4,LOH
KRTAP5-5,LOH
KRTAP5-6,LOH
IFITM10,LOH
CTSD,LOH
TNNI2,LOH
LSP1,LOH
TNNT3,LOH
MRPL23,LOH
H19,LOH
INS-IGF2,LOH
TH,LOH
ASCL2,LOH
C11orf21,LOH
TSPAN32,LOH
CD81-AS1,LOH
CD81,LOH
TSSC4,LOH
TRPM5,LOH
KCNQ1,LOH
CDKN1C,LOH
SLC22A18,LOH
PHLDA2,LOH
NAP1L4,LOH
CARS,LOH
OSBPL5,LOH
MRGPRE,LOH
ZNF195,LOH
TSSC2,LOH
ART5,LOH
ART1,LOH
CHRNA10,LOH
NUP98,LOH
PGAP2,LOH
RHOG,LOH
STIM1,LOH
RRM1,LOH
OR52B4,LOH
TRIM21,LOH
OR52K2,LOH
OR52K1,LOH
OR52M1,LOH
C11orf40,LOH
OR52I2,LOH
TRIM68,LOH
OR51D1,LOH
OR51E2,LOH
MMP26,LOH
OR51L1,LOH
OR52J3,LOH
OR52E2,LOH
OR52A5,LOH
OR51V1,LOH
HBB,LOH
HBD,LOH
HBBP1,LOH
HBG1,LOH
OR56A3,LOH
OR56A5,LOH
OR52L1,LOH
OR56A1,LOH
OR56B4,LOH
OR52W1,LOH
C11orf42,LOH
FAM160A2,LOH
CNGA4,LOH
CCKBR,LOH
SMPD1,LOH
APBB1,LOH
HPX,LOH
TRIM3,LOH
TRIM3,LOSS
ARFIP2,LOSS
DNHD1,LOSS
DNHD1,LOH
COMMD9,LOSS
PRR5L,LOH
SHANK2,GAIN
SHANK2,LOH
FLJ42102,LOH
DHCR7,LOH
KRTAP5-7,LOH
KRTAP5-8,LOH
KRTAP5-9,LOH
FAM86C1,LOH
ZNF705E,LOH
DEFB108B,LOH
RNF121,LOH
NUMA1,LOH
LRTOMT,LOH
ANAPC15,LOH
FOLR3,LOH
INPPL1,LOH
PHOX2A,LOH
CLPB,LOH
LINC01537,LOH
PDE2A,LOH
FCHSD2,LOH
P2RY2,LOH
P2RY6,LOH
ARHGEF17,LOH
RELT,LOH
FAM168A,LOH
PLEKHB1,LOH
RAB6A,LOH
COA4,LOH
PAAF1,LOH
DNAJB13,LOH
UCP2,LOH
UCP3,LOH
C2CD3,LOH
PPME1,LOH
PGM2L1,LOH
POLD3,LOH
