gene,CNV
DLGAP3,GAIN
ZMYM6,GAIN
ZMYM1,GAIN
SFPQ,GAIN
ZMYM4,GAIN
KIAA0319L,GAIN
NCDN,GAIN
TFAP2E,GAIN
PSMB2,GAIN
C1orf216,GAIN
AGO4,GAIN
AGO3,GAIN
TEKT2,GAIN
ADPRHL2,GAIN
COL8A2,GAIN
TRAPPC3,GAIN
MAP7D1,GAIN
THRAP3,GAIN
SH3D21,GAIN
STK40,GAIN
LSM10,GAIN
OSCP1,GAIN
MRPS15,GAIN
CSF3R,GAIN
CSF3R,LOH
NDUFS5,GAIN
MACF1,GAIN
BMP8A,GAIN
PABPC4,GAIN
HEYL,GAIN
NT5C1A,GAIN
HPCAL4,GAIN
PPIE,GAIN
BMP8B,GAIN
TRIT1,GAIN
MYCL,GAIN
MFSD2A,GAIN
CAP1,GAIN
PPT1,GAIN
RLF,GAIN
TMCO2,GAIN
ZMPSTE24,GAIN
COL9A2,GAIN
SMAP2,GAIN
ZFP69,GAIN
EXO5,GAIN
ZNF684,GAIN
RIMS3,GAIN
NFYC,GAIN
NFYC,GAIN
RAB3B,GAIN
ZFYVE9,LOH
CC2D1B,LOH
ORC1,LOH
PRPF38A,LOH
ZCCHC11,LOH
GPX7,LOH
COA7,LOH
ZYG11B,LOH
ZYG11A,LOH
ECHDC2,LOH
PODN,LOH
SLC1A7,LOH
CPT2,LOH
C1orf123,LOH
MAGOH,LOH
LRP8,LOH
DMRTB1,LOH
GLIS1,LOH
NDC1,LOH
YIPF1,LOH
DIO1,LOH
LRRC42,LOH
LDLRAD1,LOH
TMEM59,LOH
TCEANC2,LOH
MRPL37,LOH
SSBP3,LOH
PARS2,LOH
DHCR24,LOH
TMEM61,LOH
PCSK9,LOH
USP24,LOH
PRKAA2,LOH
C8A,LOH
C8B,LOH
OMA1,LOSS
LRRC40,LOSS
SRSF11,LOSS
ANKRD13C,LOSS
HHLA3,LOSS
CTH,LOSS
PTGER3,LOSS
ZRANB2,LOSS
NEGR1,LOSS
LRRIQ3,LOSS
ERICH3,LOSS
CRYZ,LOSS
TYW3,LOSS
LHX8,LOSS
SLC44A5,LOSS
ACADM,LOSS
RABGGTB,LOSS
MSH4,LOSS
ASB17,LOSS
PIGK,LOH
AK5,LOH
ZZZ3,LOH
USP33,LOH
NEXN,LOH
FUBP1,LOH
GIPC2,LOH
IFI44L,LOH
IFI44,LOH
ADGRL4,LOH
PRKACB,LOH
PRKACB,LOH
SAMD13,LOH
UOX,LOH
DNASE2B,LOH
DNASE2B,GAIN
CNN3,GAIN
TMEM56,GAIN
PTBP2,LOH
DPYD,LOH
MIR137HG,LOH
SNX7,LOH
PALMD,LOH
FRRS1,LOH
AGL,LOH
SLC35A3,LOH
SASS6,LOH
TRMT13,LOH
LRRC39,LOH
DBT,LOH
RTCA,LOH
CDC14A,LOH
GPR88,LOH
VCAM1,LOH
SLC30A7,LOH
DPH5,LOH
S1PR1,LOH
OLFM3,LOH
COL11A1,LOH
LOC101928436,LOH
AMY2B,LOH
AMY2A,LOH
AMY1B,LOH
PRMT6,LOH
NTNG1,LOH
NBPF4,LOH
HENMT1,LOH
PRPF38B,LOH
STXBP3,LOH
AKNAD1,LOH
WDR47,LOH
TMEM167B,LOH
SCARNA2,LOH
C1orf194,LOH
KIAA1324,LOH
SARS,LOH
CELSR2,LOH
PSRC1,LOH
MYBPHL,LOH
SORT1,LOH
PSMA5,LOH
SYPL2,LOH
ATXN7L2,LOH
GNAI3,LOH
GNAT2,LOH
AMPD2,LOH
GSTM4,LOH
CSF1,LOH
AHCYL1,LOH
STRIP1,LOH
ALX3,LOH
UBL4B,LOH
SLC6A17,LOH
KCNC4,LOH
RBM15,LOH
SLC16A4,LOH
LAMTOR5,LOH
PROK1,LOH
KCNA10,LOH
KCNA2,LOH
KCNA3,LOH
CD53,LOH
LRIF1,LOH
DRAM2,LOH
CEPT1,LOH
DENND2D,LOH
CHIAP2,LOH
CHIA,LOH
OVGP1,LOH
WDR77,LOH
C1orf162,LOH
TMIGD3,LOH
FAM212B,LOH
DDX20,LOH
KCND3,LOH
CTTNBP2NL,LOH
ST7L,LOH
CAPZA1,LOH
MOV10,LOH
RHOC,LOH
PPM1J,LOH
SLC16A1,LOH
LRIG2,LOH
MAGI3,LOH
PHTF1,LOH
RSBN1,LOH
AP4B1-AS1,LOH
AP4B1,LOH
DCLRE1B,LOH
HIPK1,LOH
OLFML3,LOH
SYT6,LOH
TRIM33,LOH
BCAS2,LOH
AMPD1,LOH
NRAS,LOH
CSDE1,LOH
SIKE1,LOH
SYCP1,LOH
TSHB,LOH
TSPAN2,LOH
VANGL1,LOH
CASQ2,LOH
SLC22A15,LOH
MAB21L3,LOH
ATP1A1,LOH
CD58,LOH
IGSF3,LOH
C1orf137,LOH
CD2,LOH
PTGFRN,LOH
CD101,LOH
TTF2,LOH
TRIM45,LOH
VTCN1,LOH
FAM46C,LOH
MIR5096,GAIN
FAM110C,GAIN
SH3YL1,GAIN
ACP1,GAIN
SNTG2,GAIN
PXDN,GAIN
MYT1L,GAIN
C2orf48,GAIN
C2orf48,LOH
FAM49A,LOH
SMC6,LOH
MSGN1,LOH
KCNS3,LOH
OSR1,LOH
TTC32,LOH
WDR35,LOH
MATN3,LOH
LAPTM4A,LOH
SDC1,LOH
PUM2,LOH
RHOB,LOH
LDAH,LOH
APOB,LOH
TDRD15,LOH
KLHL29,LOH
ATAD2B,LOH
FKBP1B,LOH
SF3B6,LOH
FAM228B,LOH
ITSN2,LOH
CENPO,LOH
DNAJC27,LOH
EFR3B,LOH
POMC,LOH
DNMT3A,LOH
DTNB,LOH
DTNB,GAIN
DNAH6,LOH
DNAH6,GAIN
ACTR3BP2,GAIN
TEKT4,GAIN
MAL,GAIN
MRPS5,GAIN
