Genes
TTC34
AADACL3
AADACL4
AGTRAP
ANGPTL7
C1orf127
C1orf158
C1orf167
CASZ1
CENPS
CENPS-CORT
CLCN6
CLSTN1
CORT
CTNNBIP1
DFFA
DHRS3
DISP3
DRAXIN
EXOSC10
FBXO2
FBXO44
FBXO6
HNRNPCL1
KIAA2013
KIF1B
LINC01647
LINC01784
LOC102724659
LOC105376736
LZIC
MAD2L2
MASP2
MFN2
MIIP
MIR1273D
MIR4632
MIR5697
MIR6729
MIR6730
MIR7846
MTHFR
MTOR
MTOR-AS1
NMNAT1
NPPA
NPPA-AS1
NPPB
PEX14
PGD
PIK3CD
PIK3CD-AS1
PIK3CD-AS2
PLOD1
PRAMEF1
PRAMEF10
PRAMEF11
PRAMEF12
PRAMEF2
PRAMEF4
RBP7
RNU5E-1
RNU6-8
SLC25A33
SNORA59A
SRM
TARDBP
TMEM201
TNFRSF1B
TNFRSF8
UBE4B
UBIAD1
VPS13D
HNRNPCL2
HNRNPCL3
HNRNPCL4
PRAMEF13
PRAMEF25
PRAMEF26
PRAMEF27
PRAMEF34P
PRAMEF9
AGMAT
ARHGEF19
C1orf195
CASP9
CELA2A
CELA2B
CLCNKA
CLCNKB
CROCCP3
CTRC
DDI2
DNAJC16
EFHD2
EPHA2
FAM131C
FBLIM1
FBXO42
FHAD1
FLJ37453
HSPB7
KAZN
KAZN-AS1
LINC01772
LOC101927417
LRRC38
MIR5096
NECAP2
PDPN
PLEKHM2
PRAMEF14
PRAMEF15
PRAMEF17
PRAMEF19
PRAMEF20
PRAMEF33
PRAMEF5
PRAMEF8
PRDM2
RSC1A1
RSG1
SCARNA21B
SLC25A34
SLC25A34-AS1
SPATA21
SPEN
SRARP
SZRD1
TMEM51
TMEM51-AS1
TMEM82
UQCRHL
ZBTB17
RNU1-1
ACTG1P20
ACTL8
AHDC1
AKR7A2
AKR7A3
AKR7L
ALDH4A1
ALPL
ARHGEF10L
ARID1A
ASAP3
ATP13A2
ATP5IF1
AUNIP
C1QA
C1QB
C1QC
CAMK2N1
CAPZB
CATSPER4
CD164L2
CD52
CDA
CDC42
CELA3A
CELA3B
CEP85
CLIC4
CNKSR1
CNR2
CROCC
CRYBG2
DDOST
DHDDS
DNAJC8
E2F2
ECE1
EIF4G3
ELOA
ELOA-AS1
EMC1
EPB41
EPHA8
EPHB2
EXTL1
EYA3
FAM110D
